Resort,Price,Rating,DistanceFromCentre_m
Mount Baw Baw - Altitude Apartment 1,3229.0,7.4,850
Mount Baw Baw - Tanjil Creek Lodge,2455.0,8.7,1200
Mt Stirling - Stirling Hotel,5175.0,9.1,250
Mt Hotham - Chalet Hotham 1,6370.0,9.7,400
Falls Creek - Huski Apartments,5026.0,9.0,250
Falls Creek - Diana Alpine Lodge,5873.0,9.3,100
Falls Creek - Kilimanjaro Apartment,4888.8,9.0,250
Mt Buller - Nutcracker Ski Club,4270.0,8.3,500
Thredbo - Powder 2B,6197.8,9.0,700
Thredbo - House of Ullr,3151.4,8.0,250
Thredbo - Ramshead Creek 3,4456.2,8.6,550
Perisher - Boonoona Ski Lodge,5467.0,9.3,350
Perisher - Kooloora Lodge,6720.0,9.7,550
Perisher - The Perisher Valley Hotel,8960.0,9.0,1400
