Mount,Week,Visitors
Thredbo,1,32396
Thredbo,2,26128
Thredbo,3,23128
Thredbo,4,21407
Thredbo,5,26959
Thredbo,6,26438
Thredbo,7,22476
Thredbo,8,25261
Thredbo,9,28297
Thredbo,10,37119
Thredbo,11,26526
Thredbo,12,35779
Thredbo,13,39092
Thredbo,14,42608
Thredbo,15,35585
Perisher,1,52808
Perisher,2,42230
Perisher,3,35237
Perisher,4,37287
Perisher,5,27180
Perisher,6,39049
Perisher,7,24928
Perisher,8,39961
Perisher,9,19692
Perisher,10,53071
Perisher,11,36158
Perisher,12,37801
Perisher,13,47651
Perisher,14,44001
Perisher,15,31841
Selwyn,1,6147
Selwyn,2,7667
Selwyn,3,7043
Selwyn,4,6979
Selwyn,5,7491
Selwyn,6,4871
Selwyn,7,4766
Selwyn,8,5035
Selwyn,9,4650
Selwyn,10,5657
Selwyn,11,5281
Selwyn,12,4005
Selwyn,13,4339
Selwyn,14,4342
Selwyn,15,5422
Mt. Buller,1,40862
Mt. Buller,2,20850
Mt. Buller,3,22755
Mt. Buller,4,26121
Mt. Buller,5,38293
Mt. Buller,6,45770
Mt. Buller,7,44370
Mt. Buller,8,39616
Mt. Buller,9,42713
Mt. Buller,10,39662
Mt. Buller,11,30020
Mt. Buller,12,23747
Mt. Buller,13,23915
Mt. Buller,14,24344
Mt. Buller,15,23751
Falls Creek,1,25950
Falls Creek,2,15342
Falls Creek,3,17279
Falls Creek,4,31402
Falls Creek,5,15681
Falls Creek,6,25023
Falls Creek,7,22574
Falls Creek,8,32432
Falls Creek,9,25878
Falls Creek,10,30400
Falls Creek,11,31854
Falls Creek,12,27216
Falls Creek,13,30538
Falls Creek,14,29440
Falls Creek,15,29628
Mt. Hotham,1,22361
Mt. Hotham,2,19599
Mt. Hotham,3,26351
Mt. Hotham,4,22075
Mt. Hotham,5,21794
Mt. Hotham,6,22490
Mt. Hotham,7,25284
Mt. Hotham,8,25251
Mt. Hotham,9,27231
Mt. Hotham,10,21446
Mt. Hotham,11,25642
Mt. Hotham,12,25414
Mt. Hotham,13,26053
Mt. Hotham,14,26798
Mt. Hotham,15,21882
Mt. Baw Baw,1,6897
Mt. Baw Baw,2,5359
Mt. Baw Baw,3,5694
Mt. Baw Baw,4,5740
Mt. Baw Baw,5,3746
Mt. Baw Baw,6,3846
Mt. Baw Baw,7,3951
Mt. Baw Baw,8,3485
Mt. Baw Baw,9,4239
Mt. Baw Baw,10,2281
Mt. Baw Baw,11,2772
Mt. Baw Baw,12,3926
Mt. Baw Baw,13,6376
Mt. Baw Baw,14,6719
Mt. Baw Baw,15,3972
